experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2')",1,23,121945.64,107407.7,252.0866,107407.7,9807.375,14147.234375,10842.890625,
"host+('guest_1', 'guest_2')",1,24,122037.695,103414.336,247.03363,103414.336,10816.867,16164.8046875,11279.3828125,
"host+('guest_1', 'guest_2')",1,25,118761.89,99226.13,241.75609,99226.13,11991.75,16781.546875,11937.734375,
"host+('guest_1', 'guest_2')",1,26,110809.82,94945.67,236.31813,94945.67,13561.336,19042.296875,14111.1171875,
"host+('guest_1', 'guest_2')",1,27,115547.61,90662.9,230.83714,90662.9,14828.9375,19257.6953125,14177.96875,
"host+('guest_1', 'guest_2')",1,28,107204.39,86308.92,225.2773,86308.92,16251.281,20328.75,14832.5078125,
"host+('guest_1', 'guest_2')",1,29,94672.82,82086.56,219.84348,82086.56,17958.336,20053.859375,15890.9296875,
"host+('guest_1', 'guest_2')",1,30,89574.36,77978.055,214.4699,77978.055,19939.219,21822.4140625,15886.484375,
"host+('guest_1', 'guest_2')",1,31,79957.07,74018.38,209.43611,74018.38,21301.11,21589.0390625,16078.2265625,
"host+('guest_1', 'guest_2')",1,32,78799.19,70348.39,204.54813,70348.39,23005.672,21884.796875,16387.40625,
"host+('guest_1', 'guest_2')",1,33,86228.695,66879.28,199.60878,66879.28,25169.547,22344.3125,17183.9609375,
"host+('guest_1', 'guest_2')",1,34,71215.15,63567.38,194.73872,63567.38,27621.52,22813.34765625,16087.37890625,
"host+('guest_1', 'guest_2')",1,35,78157.77,60516.19,190.08359,60516.19,29076.777,19814.96484375,15855.69921875,
"host+('guest_1', 'guest_2')",1,36,64804.07,57547.492,185.38556,57547.492,31111.992,19695.9375,15612.5546875,
"host+('guest_1', 'guest_2')",1,37,81595.46,54717.43,180.82129,54717.43,33613.062,20809.5390625,15012.65625,
"host+('guest_1', 'guest_2')",1,38,69382.1,51880.21,176.26328,51880.21,36991.75,17634.0078125,15043.1640625,
"host+('guest_1', 'guest_2')",1,39,61482.25,49161.63,171.72263,49161.63,39136.246,17334.98046875,15094.1015625,
"host+('guest_1', 'guest_2')",1,40,52409.098,46584.82,167.18912,46584.82,42073.75,17167.8671875,14760.375,
"host+('guest_1', 'guest_2')",1,41,52471.508,44101.863,162.56636,44101.863,44006.98,16549.125,13588.40625,
